Sample REF	EEC942EB-4819-4493-98B9-6A55ED75E75E
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0551238595
14-3-3_epsilon-M-C	0.0618340155
14-3-3_zeta-R-V	-0.0982057399999999
4E-BP1-R-V	-0.0723030454999999
4E-BP1_pS65-R-V	0.0566801775
4E-BP1_pT37_T46-R-V	0.3283078845
4E-BP1_pT70-R-V	-0.0230369845
53BP1-R-E	-0.804015447
A-Raf_pS299-R-C	-0.018513288
ACC_pS79-R-V	-0.230969267
ACC1-R-E	-0.2315228525
Acetyl-a-Tubulin-Lys40-R-C	-0.34835627
ACVRL1-R-C	0.113206095
ADAR1-M-V	-0.2105279625
Akt-R-V	-0.0704329495
Akt_pS473-R-V	0.156580634
Akt_pT308-R-V	0.1248178055
alpha-Catenin-M-V	-0.00374552299999997
AMPK_alpha-R-C	0.0977593695
AMPK_pT172-R-V	-0.0140325414999999
Annexin-1-M-E	0.804770791
Annexin_VII-M-V	0.0591025695000001
AR-R-V	-0.0842172819999999
DIRAS3-M-E	0.0301378005
ASNS-R-V	0.731655744
ATM-R-E	0.080738928
B-Raf-M-C	-0.354194114
Bad_pS112-R-V	0.0438731305000001
Bak-R-C	0.152159536
Bap1-c-4-M-E	-0.1248000605
Bax-R-V	-0.0715466374999999
Bcl-2-M-V	0.0391413290000001
Bcl-xL-R-V	0.709098628
Beclin-G-C	0.3353272105
beta-Catenin-R-V	0.6166926315
Bid-R-C	0.082832066
Bim-R-V	-0.044323554
c-Jun_pS73-R-V	0.122399966
c-Kit-R-V	-0.6212863875
c-Met-M-E	0.093589633
c-Met_pY1235-R-V	-0.1258429715
c-Myc-R-C	-0.1459481215
C-Raf-R-V	0.0548816665000001
C-Raf_pS338-R-V	0.0460621905
Caspase-7_cleavedD198-R-C	-0.315473354
Caspase-8-M-E	-0.0201616855
Caveolin-1-R-V	1.166531928
CD20-R-C	0.117112714
CD31-M-V	0.083132777
CD49b-M-V	0.418361221
CDK1-R-V	-0.00391231499999994
Chk1-M-C	0.1802764155
Chk1_pS345-R-C	0.1322923595
Chk2-M-E	-0.0943320474999999
Chk2_pT68-R-C	0.0698713445
cIAP-R-V	-0.0949835684999999
Claudin-7-R-V	0.555797119
Collagen_VI-R-V	0.3447902045
Cyclin_B1-R-V	-0.131621515
Cyclin_D1-R-V	-0.1516480905
Cyclin_E1-M-V	-0.0947449669999999
Cyclin_E2-R-C	0.00161489600000003
DJ-1-R-E	-0.0349496034999999
Dvl3-R-V	-0.1907915695
E-Cadherin-R-V	1.377443466
eEF2-R-C	0.0385977375
eEF2K-R-V	-0.249081754
EGFR-R-V	-0.100262993
EGFR_pY1068-R-C	-0.0728419035
EGFR_pY1173-R-V	-0.1085024395
eIF4E-R-V	-0.0633789379999999
eIF4G-R-C	0.3110080155
ER-alpha-R-V	-0.0768926364999999
ER-alpha_pS118-R-V	-0.059371512
ERCC1-M-V	0.0173725760000001
ERK2-R-E	0.0115349175
ETS-1-R-V	0.0979430855
FASN-R-V	-0.197465133
Fibronectin-R-V	0.553458895
FoxM1-R-V	0.317727635
FOXO3a-R-C	-0.0376512724999999
FOXO3a_pS318_S321-R-C	0.0586545545000001
G6PD-M-V	-0.062010853
GAB2-R-V	-0.1774343855
GAPDH-M-C	0.5018260955
GATA3-M-V	0.4209119625
GSK3-alpha-beta-M-V	-0.210065583
GSK3-alpha-beta_pS21_S9-R-V	0.320405974
GSK3_pS9-R-V	0.160111704
HER2-M-V	0.1798771735
HER2_pY1248-R-C	-0.114619742
HER3-R-V	-0.2412600735
HER3_pY1289-R-C	-0.068922956
Heregulin-R-V	-0.200065399
HSP70-R-C	-0.117937413
IGFBP2-R-V	-0.0605692845
INPP4B-R-V	-0.126244832
IRS1-R-V	-0.186498909
JAB1-M-C	-0.0399587684999999
JNK_pT183_pY185-R-V	-0.00161489599999998
JNK2-R-C	0.236277857
Ku80-R-C	-0.166520909
