Sample REF	F0A6BFEA-91DF-4290-80FD-51B912712001
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.12716557525
14-3-3_epsilon-M-C	-0.03676848375
14-3-3_zeta-R-V	-0.0430841072499999
4E-BP1-R-V	-0.64091094175
4E-BP1_pS65-R-V	-0.24552387875
4E-BP1_pT37_T46-R-V	-0.13814400575
4E-BP1_pT70-R-V	-0.28897663875
53BP1-R-E	-0.52603250725
A-Raf_pS299-R-C	-0.0230088472500001
ACC_pS79-R-V	-0.94856497025
ACC1-R-E	-0.93951706075
Acetyl-a-Tubulin-Lys40-R-C	-0.33895770525
ACVRL1-R-C	0.23532614075
ADAR1-M-V	-0.19863534175
Akt-R-V	0.27703302625
Akt_pS473-R-V	0.74909188375
Akt_pT308-R-V	0.31774114625
alpha-Catenin-M-V	-0.000102185250000053
AMPK_alpha-R-C	0.11245046225
AMPK_pT172-R-V	-0.65320374875
Annexin-1-M-E	0.29208947075
Annexin_VII-M-V	0.40083719525
AR-R-V	0.41310165375
DIRAS3-M-E	0.0386363652499999
ASNS-R-V	-0.26094159625
ATM-R-E	-0.15596554625
B-Raf-M-C	-0.30384904925
Bad_pS112-R-V	0.000102185250000053
Bak-R-C	0.00171171375000001
Bap1-c-4-M-E	-0.43765626575
Bax-R-V	-0.37068911275
Bcl-2-M-V	0.42632559475
Bcl-xL-R-V	0.47333237675
Beclin-G-C	-0.0180773367500001
beta-Catenin-R-V	0.17266193125
Bid-R-C	0.12884698375
Bim-R-V	-0.01408680225
c-Jun_pS73-R-V	-0.02296116125
c-Kit-R-V	-0.52236119575
c-Met-M-E	0.08030745675
c-Met_pY1235-R-V	0.00766549925000004
c-Myc-R-C	-0.0342484197499999
C-Raf-R-V	-0.21738578975
C-Raf_pS338-R-V	0.15775474325
Caspase-7_cleavedD198-R-C	-0.68433448025
Caspase-8-M-E	0.0250480872500001
Caveolin-1-R-V	1.68115419375
CD20-R-C	-0.19870472925
CD31-M-V	0.0541991147500001
CD49b-M-V	0.06928641375
CDK1-R-V	-0.02494114125
Chk1-M-C	-0.70947141975
Chk1_pS345-R-C	-0.17101981575
Chk2-M-E	-0.46852935975
Chk2_pT68-R-C	-0.00373101674999998
cIAP-R-V	-0.0696381507499999
Claudin-7-R-V	-0.73079037825
Collagen_VI-R-V	0.64088156025
Cyclin_B1-R-V	-1.13596165625
Cyclin_D1-R-V	0.22376776025
Cyclin_E1-M-V	-0.31862851925
Cyclin_E2-R-C	-0.28242646625
DJ-1-R-E	0.29032589025
Dvl3-R-V	0.10964931725
E-Cadherin-R-V	-1.20619677325
eEF2-R-C	-0.31001476775
eEF2K-R-V	0.13411534475
EGFR-R-V	0.17028790875
EGFR_pY1068-R-C	0.20538858925
EGFR_pY1173-R-V	0.03116561725
eIF4E-R-V	0.02823931075
eIF4G-R-C	-0.18154076575
ER-alpha-R-V	0.36858455125
ER-alpha_pS118-R-V	-0.0451771492499999
ERCC1-M-V	0.05642024975
ERK2-R-E	0.23846529625
ETS-1-R-V	0.07132052625
FASN-R-V	-0.75204586325
Fibronectin-R-V	-0.42988782725
FoxM1-R-V	-0.67319495425
FOXO3a-R-C	-0.000787618749999996
FOXO3a_pS318_S321-R-C	0.23312087325
G6PD-M-V	0.14964800075
GAB2-R-V	-0.0385652197499999
GAPDH-M-C	-1.06946684775
GATA3-M-V	-0.06209879175
GSK3-alpha-beta-M-V	-0.17883141925
GSK3-alpha-beta_pS21_S9-R-V	0.27971134775
GSK3_pS9-R-V	0.27674300175
HER2-M-V	0.000887319250000074
HER2_pY1248-R-C	-0.0536575942499999
HER3-R-V	-0.14384018975
HER3_pY1289-R-C	0.16016788175
Heregulin-R-V	-0.14670757425
HSP70-R-C	0.59529593375
IGFBP2-R-V	-0.17632910075
INPP4B-R-V	0.32855506975
IRS1-R-V	0.01132340875
JAB1-M-C	-0.02599681475
JNK_pT183_pY185-R-V	0.34011289475
JNK2-R-C	0.21551028575
Ku80-R-C	-0.53056895725
Lck-R-V	0.41228756325
LKB1-M-E	0.0127043777500001
MAPK_pT202_Y204-R-V	0.94543957475
MEK1-R-V	0.38366236625
MEK1_pS217_S221-R-V	0.08685666775
MIG-6-M-V	-0.0328951937499999
Mre11-R-C	0.08377254475
MSH2-M-V	-0.71137723575
MSH6-R-C	-1.05370055575
mTOR-R-V	-0.06359400075
mTOR_pS2448-R-C	0.39632292725
MYH11-R-V	2.76459753775
Myosin-IIa_pS1943-R-V	0.11331845975
N-Cadherin-R-V	0.10989954625
N-Ras-M-V	-0.0233858927500001
NDRG1_pT346-R-V	0.37658432025
NF-kB-p65_pS536-R-C	-0.31678050275
NF2-R-C	-0.25437866175
Notch1-R-V	0.04235017175
P-Cadherin-R-C	-0.19146863575
p21-R-V	0.32574450425
p27-R-V	0.46873375725
p27_pT157-R-C	-0.08391638225
p27_pT198-R-V	0.03540064625
p38_MAPK-R-V	0.17613783425
p38_pT180_Y182-R-V	0.49945200325
p53-R-E	0.13925072675
p62-LCK-ligand-M-C	-0.15970235375
p70S6K-R-V	0.05585989225
p70S6K_pT389-R-V	0.24090942575
p90RSK-R-C	-0.10282194825
p90RSK_pT359_S363-R-C	0.0193960607500001
PAI-1-M-E	0.05747983925
PARP_cleaved-M-E	-0.24498026225
PARP1-R-V	-0.77427377675
Paxillin-R-C	0.0450817632499999
PCNA-M-C	-0.27020834175
PDCD4-R-C	0.33322506825
PDK1-R-V	0.14883897225
PDK1_pS241-R-V	0.06790549875
PEA15-R-V	0.12877336325
PEA15_pS116-R-V	-0.09307638025
PI3K-p110-alpha-R-C	0.01524572675
PI3K-p85-R-V	0.28126420275
PKC-alpha-M-V	0.71576333125
PKC-alpha_pS657-R-C	0.75935491675
PKC-delta_pS664-R-V	-0.11234890025
PKC-pan_BetaII_pS660-R-V	0.40429107175
PR-R-V	0.10752413925
PRAS40_pT246-R-V	0.10375543675
PRDX1-R-V	-0.31774380425
PREX1-R-E	-0.21321490425
PTEN-R-V	0.43278835925
Rab11-R-E	0.0380389457500001
Rab25-R-V	-0.23546053125
Rad50-M-V	-0.08511492125
Rad51-R-V	-0.10473463275
Raptor-R-V	0.0799334742500001
Rb-M-E	0.10239090075
Rb_pS807_S811-R-V	-0.40979363125
RBM15-R-V	-0.46978368425
Rictor-R-C	2.11241773225
Rictor_pT1135-R-V	-0.01261087875
S6-R-E	-0.65122316625
S6_pS235_S236-R-V	0.20270006925
S6_pS240_S244-R-V	0.0368695557500001
SCD-M-V	-0.0105301602500003
SETD2-R-E	0.0167154887500001
SF2-M-V	-0.0649121367500001
Shc_pY317-R-E	0.0993825612499999
Smac-M-E	-0.91113785825
Smad1-R-V	-0.0292120632499999
Smad3-R-V	-0.10468047325
Smad4-M-V	-0.0633082522500001
Snail-M-E	-0.20163328825
Src-M-V	-0.02750734625
Src_pY416-R-C	0.0542036987500001
Src_pY527-R-V	0.12002610525
STAT3_pY705-R-V	0.30577755325
STAT5-alpha-R-V	0.12346575475
Stathmin-R-V	-0.10416121425
