Sample REF	F2E9C319-ED7A-4DC8-A577-09537318EC83
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.0386083029999998
14-3-3_epsilon-M-C	0.395103616
14-3-3_zeta-R-V	-0.0411839525000001
4E-BP1-R-V	0.0823043959999998
4E-BP1_pS65-R-V	0.0771914439999997
4E-BP1_pT37_T46-R-V	-0.347133783
4E-BP1_pT70-R-V	-0.221463084
53BP1-R-E	0.5808825785
A-Raf_pS299-R-C	0.2076902275
ACC_pS79-R-V	-0.3567398635
ACC1-R-E	-0.338750676
Acetyl-a-Tubulin-Lys40-R-C	0.5030159475
ACVRL1-R-C	-0.00110995050000012
ADAR1-M-V	0.188690017
Akt-R-V	0.161646728
Akt_pS473-R-V	-0.0064158075000002
Akt_pT308-R-V	-0.124162983
alpha-Catenin-M-V	-0.0759886615000002
AMPK_alpha-R-C	-0.0344627350000002
AMPK_pT172-R-V	-0.0741102530000001
Annexin-1-M-E	0.0974028384999999
Annexin_VII-M-V	0.197395391
AR-R-V	-0.1239820975
DIRAS3-M-E	0.0702340559999997
ASNS-R-V	-0.5176159665
ATM-R-E	0.1265662135
B-Raf-M-C	0.3362039455
Bad_pS112-R-V	0.239709675
Bak-R-C	0.0968904854999998
Bap1-c-4-M-E	-0.0114045270000002
Bax-R-V	0.126320028
Bcl-2-M-V	0.0737060904999998
Bcl-xL-R-V	-0.1279077425
Beclin-G-C	-0.189939905
beta-Catenin-R-V	-0.405390142
Bid-R-C	-0.1197109215
Bim-R-V	-0.0204792415000002
c-Jun_pS73-R-V	-0.00595829150000021
c-Kit-R-V	1.947570935
c-Met-M-E	-0.0269454755000002
c-Met_pY1235-R-V	-0.0129518550000002
c-Myc-R-C	-0.0687920290000002
C-Raf-R-V	0.322585238
C-Raf_pS338-R-V	-0.126186933
Caspase-7_cleavedD198-R-C	0.3706171295
Caspase-8-M-E	-0.0355996750000002
Caveolin-1-R-V	-0.7610093705
CD20-R-C	0.0509167534999998
CD31-M-V	0.0807857084999999
CD49b-M-V	0.0587708334999997
CDK1-R-V	-0.0992389235000002
Chk1-M-C	0.251649759
Chk1_pS345-R-C	0.167755075
Chk2-M-E	0.501818639
Chk2_pT68-R-C	-0.141418428
cIAP-R-V	0.126045649
