Sample REF	F562B1EB-64F8-440C-BD3F-988E04F979FA
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.1431537355
14-3-3_epsilon-M-C	-0.0247118985000001
14-3-3_zeta-R-V	-0.242376738
4E-BP1-R-V	-0.0781937855
4E-BP1_pS65-R-V	-0.1292457255
4E-BP1_pT37_T46-R-V	-0.4166500305
4E-BP1_pT70-R-V	-0.1489618695
53BP1-R-E	0.423015133
A-Raf_pS299-R-C	0.09893932
ACC_pS79-R-V	0.140445693
ACC1-R-E	0.1530234035
Acetyl-a-Tubulin-Lys40-R-C	0.090129321
ACVRL1-R-C	0.0967197420000001
ADAR1-M-V	0.0567432155
Akt-R-V	-0.0195329775
Akt_pS473-R-V	0.35293859
Akt_pT308-R-V	0.2533638705
alpha-Catenin-M-V	-0.136582454
AMPK_alpha-R-C	-0.0707435945
AMPK_pT172-R-V	-0.5043168875
Annexin-1-M-E	-0.123110904
Annexin_VII-M-V	0.0522334845
AR-R-V	-0.023260588
DIRAS3-M-E	0.0203537845000002
ASNS-R-V	-0.284938757
ATM-R-E	-0.254454842
B-Raf-M-C	0.00920980299999996
Bad_pS112-R-V	-0.1048807565
Bak-R-C	0.271848823
Bap1-c-4-M-E	-0.0966031115000001
Bax-R-V	-0.0376135345
Bcl-2-M-V	-0.13023844
Bcl-xL-R-V	0.95432289
Beclin-G-C	0.4473418175
beta-Catenin-R-V	-0.1884269435
Bid-R-C	0.217563536
Bim-R-V	-0.161907959
c-Jun_pS73-R-V	-0.119476589
c-Kit-R-V	1.8216104385
c-Met-M-E	0.0514921950000001
c-Met_pY1235-R-V	0.0700587175
c-Myc-R-C	0.1283010175
C-Raf-R-V	0.0555313255000001
C-Raf_pS338-R-V	0.1939785145
Caspase-7_cleavedD198-R-C	-0.101276949
Caspase-8-M-E	-0.1282062625
Caveolin-1-R-V	-0.279572242
CD20-R-C	0.086198614
CD31-M-V	-0.0796511099999999
CD49b-M-V	0.0251570389999998
CDK1-R-V	0.096337293
Chk1-M-C	0.1367773195
Chk1_pS345-R-C	0.1246904205
Chk2-M-E	0.4246415635
Chk2_pT68-R-C	0.5098210305
cIAP-R-V	0.0208005775
Claudin-7-R-V	-0.079821846
Collagen_VI-R-V	0.4658910995
Cyclin_B1-R-V	-0.10881667
Cyclin_D1-R-V	0.2785049295
Cyclin_E1-M-V	-0.150614088
Cyclin_E2-R-C	0.107055039
DJ-1-R-E	-0.00254275449999999
Dvl3-R-V	0.0499952305
E-Cadherin-R-V	-1.212434804
eEF2-R-C	-0.1957452075
eEF2K-R-V	0.083173204
EGFR-R-V	-0.132010535
EGFR_pY1068-R-C	-0.0882123655000002
EGFR_pY1173-R-V	0.0364053665
eIF4E-R-V	0.192295102
eIF4G-R-C	-0.1422302855
ER-alpha-R-V	0.0882234815000001
ER-alpha_pS118-R-V	-9.08000000021669e-07
ERCC1-M-V	-0.156278867
ERK2-R-E	-0.0563081995
ETS-1-R-V	0.1065569215
FASN-R-V	-0.547989277
Fibronectin-R-V	0.474610317
FoxM1-R-V	-0.138900236
FOXO3a-R-C	-0.0161246635
FOXO3a_pS318_S321-R-C	0.0192112995000001
G6PD-M-V	-0.010913213
GAB2-R-V	0.8913062935
GAPDH-M-C	-0.8170372575
GATA3-M-V	0.2479161595
GSK3-alpha-beta-M-V	0.046321739
GSK3-alpha-beta_pS21_S9-R-V	0.092131234
GSK3_pS9-R-V	0.000623312000000042
HER2-M-V	-0.0963322005
HER2_pY1248-R-C	-0.075276976
HER3-R-V	0.0109639435
HER3_pY1289-R-C	0.001933507
Heregulin-R-V	0.107541791
HSP70-R-C	0.918726949
IGFBP2-R-V	0.6095336875
INPP4B-R-V	-0.0746144089999998
IRS1-R-V	-0.031277819
JAB1-M-C	-0.1255705365
JNK_pT183_pY185-R-V	0.101834537
JNK2-R-C	-0.189035451
Ku80-R-C	0.190001022
Lck-R-V	-0.0397212875
LKB1-M-E	0.213896094
MAPK_pT202_Y204-R-V	0.825303106
MEK1-R-V	0.1010478285
MEK1_pS217_S221-R-V	0.128463852
MIG-6-M-V	-0.0513745915
Mre11-R-C	0.179188028
MSH2-M-V	0.0497544244999999
MSH6-R-C	-0.0877698304999996
mTOR-R-V	0.0915581955000001
mTOR_pS2448-R-C	-0.0622594004999998
MYH11-R-V	1.867336722
Myosin-IIa_pS1943-R-V	-0.035002127
N-Cadherin-R-V	0.1125679585
N-Ras-M-V	0.0754492795
NDRG1_pT346-R-V	-0.00884600949999997
NF-kB-p65_pS536-R-C	-0.0346163215
NF2-R-C	-0.2840938235
Notch1-R-V	-0.00652750900000004
P-Cadherin-R-C	0.1215271505
p21-R-V	0.2177130165
p27-R-V	-0.1194004275
p27_pT157-R-C	0.156879046
p27_pT198-R-V	0.0279671895
p38_MAPK-R-V	-0.5059569915
p38_pT180_Y182-R-V	-0.2354108825
p53-R-E	-0.0593129779999998
p62-LCK-ligand-M-C	-0.3989537665
p70S6K-R-V	-0.3253927545
p70S6K_pT389-R-V	0.20297503
