Sample REF	F6FCF568-E6A5-4E21-835C-DE25A5793400
Composite Element REF	Protein Expression
14-3-3_beta-R-V	-0.0976948544999999
14-3-3_epsilon-M-C	-0.0113262464999999
14-3-3_zeta-R-V	-0.202069766
4E-BP1-R-V	0.1434192245
4E-BP1_pS65-R-V	0.1879877145
4E-BP1_pT37_T46-R-V	0.3903119415
4E-BP1_pT70-R-V	0.2911655985
53BP1-R-E	-0.320989181
A-Raf_pS299-R-C	-0.066449402
ACC_pS79-R-V	0.383745408
ACC1-R-E	0.4117858865
Acetyl-a-Tubulin-Lys40-R-C	-0.067779456
ACVRL1-R-C	0.096410886
ADAR1-M-V	-0.0988519405
Akt-R-V	-0.00161545549999998
Akt_pS473-R-V	0.206687342
Akt_pT308-R-V	0.2021258725
alpha-Catenin-M-V	0.035696654
AMPK_alpha-R-C	-0.1059728485
AMPK_pT172-R-V	-0.1468536355
Annexin-1-M-E	0.195760375
Annexin_VII-M-V	-0.0919592745
AR-R-V	-0.010580462
DIRAS3-M-E	0.1428116265
ASNS-R-V	1.004842378
ATM-R-E	0.119254659
B-Raf-M-C	0.000510467999999986
Bad_pS112-R-V	-0.0534999975
Bak-R-C	-0.0896473759999999
Bap1-c-4-M-E	0.00732066750000004
Bax-R-V	-0.1414500725
Bcl-2-M-V	-0.065152371
Bcl-xL-R-V	-0.025449845
Beclin-G-C	0.1467855245
beta-Catenin-R-V	0.3757136585
Bid-R-C	0.094890617
Bim-R-V	-0.030358401
c-Jun_pS73-R-V	0.00495120599999999
c-Kit-R-V	-0.2203540225
c-Met-M-E	-0.195243354
c-Met_pY1235-R-V	0.0448069365
c-Myc-R-C	-0.00148896949999999
C-Raf-R-V	-0.0863843264999998
C-Raf_pS338-R-V	0.1493099235
Caspase-7_cleavedD198-R-C	-0.238086331
Caspase-8-M-E	-0.1677273555
Caveolin-1-R-V	-0.447226375
CD20-R-C	0.023261817
CD31-M-V	-0.106984155
CD49b-M-V	0.0567523
CDK1-R-V	0.23865114
Chk1-M-C	0.3925419375
Chk1_pS345-R-C	0.2807432975
Chk2-M-E	0.1681292845
Chk2_pT68-R-C	-0.00963043949999998
cIAP-R-V	-0.0362335685
Claudin-7-R-V	0.904230024
Collagen_VI-R-V	-0.1105001755
Cyclin_B1-R-V	0.820547844
Cyclin_D1-R-V	0.2160494015
Cyclin_E1-M-V	-0.000510467999999986
Cyclin_E2-R-C	0.05020268
DJ-1-R-E	-0.1096900075
Dvl3-R-V	-0.0437154005
E-Cadherin-R-V	1.062315203
eEF2-R-C	0.1201022525
eEF2K-R-V	-0.00838126899999998
EGFR-R-V	0.335774668
EGFR_pY1068-R-C	0.1280738705
EGFR_pY1173-R-V	0.0510432555
eIF4E-R-V	0.055397404
eIF4G-R-C	0.2108199505
ER-alpha-R-V	0.0235327055
ER-alpha_pS118-R-V	0.085729707
ERCC1-M-V	-0.089804078
ERK2-R-E	-0.1783963705
ETS-1-R-V	-0.0232400445
FASN-R-V	0.768027423
Fibronectin-R-V	0.236841697
FoxM1-R-V	0.28250492
FOXO3a-R-C	-0.1138560305
FOXO3a_pS318_S321-R-C	-0.0390408084999999
G6PD-M-V	-0.162747795
GAB2-R-V	-0.3580806275
GAPDH-M-C	0.6184068365
GATA3-M-V	-0.0437943535
GSK3-alpha-beta-M-V	-0.120312507
GSK3-alpha-beta_pS21_S9-R-V	0.045386358
GSK3_pS9-R-V	0.161673291
HER2-M-V	0.8492342845
HER2_pY1248-R-C	0.288286793
HER3-R-V	0.2211692075
HER3_pY1289-R-C	0.082807361
Heregulin-R-V	-0.149176006
HSP70-R-C	0.564447773
IGFBP2-R-V	-0.0297758205
INPP4B-R-V	-0.105185588
IRS1-R-V	0.10712503
JAB1-M-C	0.0800872704999999
JNK_pT183_pY185-R-V	0.036009357
JNK2-R-C	0.116261027
Ku80-R-C	-0.223352631
Lck-R-V	-0.0832213214999999
LKB1-M-E	-0.080209769
MAPK_pT202_Y204-R-V	0.390960021
MEK1-R-V	0.0137759145
MEK1_pS217_S221-R-V	0.11991046
MIG-6-M-V	0.0422933245
Mre11-R-C	0.038086821
MSH2-M-V	-0.0160061794999999
MSH6-R-C	0.0920028645000003
mTOR-R-V	-0.0967154685
mTOR_pS2448-R-C	0.0373922325000001
MYH11-R-V	-1.792708664
Myosin-IIa_pS1943-R-V	0.016900875
N-Cadherin-R-V	-0.0697563005
N-Ras-M-V	0.0729229664999999
NDRG1_pT346-R-V	-0.1277834875
NF-kB-p65_pS536-R-C	-0.1017317865
NF2-R-C	-0.0604078595
Notch1-R-V	0.266492552
P-Cadherin-R-C	0.00986630350000001
p21-R-V	-0.2884705825
p27-R-V	-0.1601088075
p27_pT157-R-C	-0.017501413
p27_pT198-R-V	-0.0234709705
p38_MAPK-R-V	0.0634632085
p38_pT180_Y182-R-V	0.4199907555
p53-R-E	-0.0266180209999997
p62-LCK-ligand-M-C	0.1576793085
p70S6K-R-V	-0.0160515295
p70S6K_pT389-R-V	0.126204113
p90RSK-R-C	0.109750221
p90RSK_pT359_S363-R-C	-0.0105006519999999
PAI-1-M-E	0.8034662335
PARP_cleaved-M-E	-0.154996407
PARP1-R-V	-0.0274838475
Paxillin-R-C	0.0108825155
PCNA-M-C	-0.1190321755
PDCD4-R-C	-0.5209221205
PDK1-R-V	-0.1236048905
PDK1_pS241-R-V	-0.080853328
PEA15-R-V	-0.0481657805
PEA15_pS116-R-V	-0.171932863
PI3K-p110-alpha-R-C	-0.061657837
PI3K-p85-R-V	-0.317475802
PKC-alpha-M-V	-0.0534486614999999
PKC-alpha_pS657-R-C	-0.124464533
PKC-delta_pS664-R-V	-0.019337916
PKC-pan_BetaII_pS660-R-V	-0.1130342
PR-R-V	0.0604064555
PRAS40_pT246-R-V	0.11216038
PRDX1-R-V	-0.558843339
PREX1-R-E	-0.472411563
PTEN-R-V	-0.1726266525
Rab11-R-E	0.0048359360000001
Rab25-R-V	0.18360599
Rad50-M-V	-0.0184719290000001
Rad51-R-V	-0.1322413875
Raptor-R-V	-0.1239299655
Rb-M-E	-0.020785642
Rb_pS807_S811-R-V	0.488540894
RBM15-R-V	-0.0196686719999999
Rictor-R-C	-0.4325939755
Rictor_pT1135-R-V	0.1114739345
S6-R-E	0.155399469
S6_pS235_S236-R-V	0.3215988345
S6_pS240_S244-R-V	0.571804027
SCD-M-V	0.0768404919999998
SETD2-R-E	-0.057644604
SF2-M-V	-0.0345726365
Shc_pY317-R-E	0.0428170885
Smac-M-E	-0.234737313
Smad1-R-V	0.055478033
Smad3-R-V	-0.034663566
Smad4-M-V	0.179485052
Snail-M-E	-0.146347516
Src-M-V	-0.195984017
Src_pY416-R-C	0.56322855
Src_pY527-R-V	0.3994383765
STAT3_pY705-R-V	0.5894213305
STAT5-alpha-R-V	-0.0445629790000001
Stathmin-R-V	-0.141177105
Syk-M-V	-0.416501166
TAZ-R-V	0.022474579
TFRC-R-V	-0.258416659
TIGAR-R-V	-0.102535432
Transglutaminase-M-V	-0.1329005115
TSC1-R-C	0.1633125055
TTF1-R-V	-0.076336392
Tuberin-R-E	0.2733274395
Tuberin_pT1462-R-V	0.3896655265
VEGFR2-R-V	-0.0201556595
EPPK1-M-E	-0.1992490425
XBP1-G-C	-0.0113860539999998
XRCC1-R-E	0.047496034
YAP-R-E	0.1664208455
YAP_pS127-R-E	0.2033153225
YB-1-R-V	-0.032626255
YB-1_pS102-R-V	0.17028823
A-Raf-R-V	-0.21282633
ARID1A-R-C	-0.0957849245
B-Raf_pS445-R-V	0.135396595
Bcl2A1-R-V	0.0214357485
BRD4-R-V	-0.0215185864999999
c-Abl-R-V	0.048117426
Caspase-3-R-C	0.0978021004999999
CD26-R-V	-0.019065332
Chk1_pS296-R-V	0.086479237
COG3-R-V	0.087514096
DUSP4-R-V	0.4769815055
ERCC5-R-C	-0.0326163045000001
IGF1R_pY1135_Y1136-R-V	0.0157864685000001
IRF-1-R-C	-0.018723812
Jak2-R-V	-0.036090394
p16_INK4a-R-V	0.077801919
SHP-2_pY542-R-C	0.21539121
CDK1_pY15-R-C	0.1305844395
