Sample REF	F9C0A59D-8F08-4982-AFB9-F6F662325A37
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.04566730825
14-3-3_epsilon-M-C	-0.0650049997499998
14-3-3_zeta-R-V	0.11011331575
4E-BP1-R-V	0.53390954625
4E-BP1_pS65-R-V	0.22635644125
4E-BP1_pT37_T46-R-V	0.56633561425
4E-BP1_pT70-R-V	0.45406396625
53BP1-R-E	-0.0770374242499999
A-Raf_pS299-R-C	-0.08373645125
ACC_pS79-R-V	-0.21630563625
ACC1-R-E	-0.53054984975
Acetyl-a-Tubulin-Lys40-R-C	0.28106487275
ACVRL1-R-C	0.29556018575
ADAR1-M-V	-0.28115762775
Akt-R-V	0.40296565125
Akt_pS473-R-V	0.13476081575
Akt_pT308-R-V	0.21184231925
alpha-Catenin-M-V	-0.00794350124999987
AMPK_alpha-R-C	0.22672506825
AMPK_pT172-R-V	0.48201773525
Annexin-1-M-E	0.0610347587499999
Annexin_VII-M-V	-0.37806787875
AR-R-V	0.27812576475
DIRAS3-M-E	0.11197432325
ASNS-R-V	-0.21462466425
ATM-R-E	-0.24301848025
B-Raf-M-C	-0.35340719725
Bad_pS112-R-V	0.04152557525
Bak-R-C	-0.0222556732499998
Bap1-c-4-M-E	-0.43972818275
Bax-R-V	-0.58698727175
Bcl-2-M-V	0.14550066675
Bcl-xL-R-V	-0.05791576725
Beclin-G-C	-0.10410381175
beta-Catenin-R-V	0.43918082125
Bid-R-C	0.29793275575
Bim-R-V	-0.11542589525
c-Jun_pS73-R-V	0.11150934575
c-Kit-R-V	-0.75577448875
c-Met-M-E	0.13899516475
c-Met_pY1235-R-V	0.11257527225
c-Myc-R-C	0.0150970522500001
C-Raf-R-V	-0.19267789475
C-Raf_pS338-R-V	0.20413326425
Caspase-7_cleavedD198-R-C	-0.95531671525
Caspase-8-M-E	0.0977191632500001
Caveolin-1-R-V	2.67147816275
CD20-R-C	-0.11892201725
CD31-M-V	-0.0435227722500001
CD49b-M-V	0.00734257674999983
CDK1-R-V	0.02528090375
Chk1-M-C	-0.56570507175
Chk1_pS345-R-C	-0.17814240775
Chk2-M-E	-0.92623356775
Chk2_pT68-R-C	0.09124200825
cIAP-R-V	-0.12152176775
Claudin-7-R-V	-0.44060335225
Collagen_VI-R-V	0.33804197325
Cyclin_B1-R-V	-1.71775850825
Cyclin_D1-R-V	0.15569696925
Cyclin_E1-M-V	-0.22508465225
Cyclin_E2-R-C	-0.25903165925
DJ-1-R-E	-0.34793812275
Dvl3-R-V	0.63797133525
E-Cadherin-R-V	0.09523547775
eEF2-R-C	-0.29265619075
eEF2K-R-V	0.14014692075
EGFR-R-V	0.18814152875
EGFR_pY1068-R-C	0.14488821825
EGFR_pY1173-R-V	0.0762738752500001
eIF4E-R-V	-0.11911378625
eIF4G-R-C	0.04341464125
ER-alpha-R-V	0.02530030325
ER-alpha_pS118-R-V	-0.29818180325
ERCC1-M-V	0.13713965475
ERK2-R-E	-0.36160356975
ETS-1-R-V	-0.00125922275000001
FASN-R-V	-0.29893596125
Fibronectin-R-V	0.45092540175
FoxM1-R-V	-0.17292636425
FOXO3a-R-C	0.05573864425
FOXO3a_pS318_S321-R-C	0.24032579925
G6PD-M-V	-0.23998106125
GAB2-R-V	0.0703948052500001
GAPDH-M-C	0.18801018225
GATA3-M-V	-0.22518770875
GSK3-alpha-beta-M-V	-0.20041952225
GSK3-alpha-beta_pS21_S9-R-V	-0.08244466725
GSK3_pS9-R-V	0.10693533275
HER2-M-V	0.59147042125
