Sample REF	F32F346E-9E0B-4EDA-AB4D-09FCC54BED28
Composite Element REF	Protein Expression
14-3-3_beta-R-V	0.034474237
14-3-3_epsilon-M-C	0.110582665
14-3-3_zeta-R-V	0.161760013
4E-BP1-R-V	0.026974986
4E-BP1_pS65-R-V	-0.086124292
4E-BP1_pT37_T46-R-V	-0.79188825
4E-BP1_pT70-R-V	-0.127474879
53BP1-R-E	0.16889214
A-Raf_pS299-R-C	-0.100042731
ACC_pS79-R-V	-0.591190254
ACC1-R-E	0.0579545209999999
Acetyl-a-Tubulin-Lys40-R-C	0.67992118
ACVRL1-R-C	0.163068588
ADAR1-M-V	0.131624814
Akt-R-V	-0.0314650980000001
Akt_pS473-R-V	-0.799493328
Akt_pT308-R-V	-0.409203821
alpha-Catenin-M-V	-0.130151304
AMPK_alpha-R-C	0.164480998
AMPK_pT172-R-V	0.307894489
Annexin-1-M-E	0.27510771
Annexin_VII-M-V	0.140183321
AR-R-V	0.249981231
DIRAS3-M-E	0.0868602429999999
ASNS-R-V	0.219439924
ATM-R-E	0.485494347
B-Raf-M-C	0.040411585
Bad_pS112-R-V	-0.217819256
Bak-R-C	-0.068150515
Bap1-c-4-M-E	-0.217420854
Bax-R-V	0.165367053
Bcl-2-M-V	0.193051807
Bcl-xL-R-V	-0.032252957
Beclin-G-C	0.021227848
beta-Catenin-R-V	-0.195920598
Bid-R-C	0.16635249
Bim-R-V	0.247575236
BRCA2-R-C	-0.01705418
c-Jun_pS73-R-V	-0.291729237
c-Kit-R-V	0.547024874
c-Met-M-E	-0.32193618
c-Met_pY1235-R-V	0.109706448
c-Myc-R-C	0.359734917
C-Raf-R-V	0.104368551
C-Raf_pS338-R-V	-0.0261801460000001
Caspase-7_cleavedD198-R-C	1.461795265
Caspase-8-M-E	0.053956437
Caveolin-1-R-V	1.1712469
CD20-R-C	0.0265305239999999
CD31-M-V	0.118741781
CD49b-M-V	-0.17281527
CDK1-R-V	-0.257974282
Chk1-M-C	-0.301589958
Chk1_pS345-R-C	-0.408887698
Chk2-M-E	-0.102672055
Chk2_pT68-R-C	0.097620932
cIAP-R-V	0
Claudin-7-R-V	-1.096235612
Collagen_VI-R-V	0.366001117
Cyclin_B1-R-V	-0.484799236
Cyclin_D1-R-V	0.071730593
Cyclin_E1-M-V	-0.27406545
Cyclin_E2-R-C	-0.10389765
DJ-1-R-E	0.137850073
Dvl3-R-V	-0.382457544
E-Cadherin-R-V	-0.687312425
eEF2-R-C	-0.0196989510000001
eEF2K-R-V	-0.0356372049999999
EGFR-R-V	0.0881037619999999
EGFR_pY1068-R-C	-0.647630271
EGFR_pY1173-R-V	0.022798052
eIF4E-R-V	0.043928954
eIF4G-R-C	-0.164633911
ER-alpha-R-V	0.644251391
ER-alpha_pS118-R-V	-0.0557896999999999
ERCC1-M-V	-0.142095901
ERK2-R-E	0.176863688
ETS-1-R-V	0.079002173
FASN-R-V	-0.070408403
Fibronectin-R-V	0.277933141
FoxM1-R-V	-0.252870705
FOXO3a-R-C	0.0797030969999998
FOXO3a_pS318_S321-R-C	-0.168910834
G6PD-M-V	1.289510161
GAB2-R-V	-0.346285272
GAPDH-M-C	-0.0119629290000001
GATA3-M-V	-0.029390725
GSK3-alpha-beta-M-V	0.0794958949999999
GSK3-alpha-beta_pS21_S9-R-V	-1.012201423
GSK3_pS9-R-V	-1.792075429
HER2-M-V	-0.132464935
HER2_pY1248-R-C	-0.184586166
HER3-R-V	-0.255740106
HER3_pY1289-R-C	-0.00294331700000004
Heregulin-R-V	-0.02662877
HSP70-R-C	0.166062208
IGFBP2-R-V	-0.252833206
INPP4B-R-V	-0.138291517
IRS1-R-V	0.141534689
JNK_pT183_pY185-R-V	-0.298338941
JNK2-R-C	0.0188277440000001
Ku80-R-C	-0.021359617
Lck-R-V	0.588160504
LKB1-M-E	0.117267548
MAPK_pT202_Y204-R-V	-0.361067088
MEK1-R-V	-0.166398461
MEK1_pS217_S221-R-V	-0.060009078
MIG-6-M-V	0.034779357
Mre11-R-C	0.224333051
MSH2-M-V	-0.101893525
MSH6-R-C	-0.079868945
mTOR-R-V	0.128944834
mTOR_pS2448-R-C	-0.321208468
MYH11-R-V	1.085995422
Myosin-IIa_pS1943-R-V	-0.2402625
N-Cadherin-R-V	0.159556975
N-Ras-M-V	0.050286885
NDRG1_pT346-R-V	-1.933907902
NF-kB-p65_pS536-R-C	-0.440397328
NF2-R-C	-0.0636437530000001
Notch1-R-V	-0.0461290850000001
P-Cadherin-R-C	0.247653482
p21-R-V	-2.212391676
p27-R-V	0.063727186
p27_pT157-R-C	0.060156135
p27_pT198-R-V	0.0895002989999999
p38_MAPK-R-V	0.24539589
p38_pT180_Y182-R-V	-1.357016958
p53-R-E	0.0520431020000002
p62-LCK-ligand-M-C	0.425955344
p70S6K-R-V	-0.204370606
p70S6K_pT389-R-V	0.139350386
p90RSK-R-C	0.108456903
p90RSK_pT359_S363-R-C	-0.188754023
PAI-1-M-E	-0.230475799
PARP_cleaved-M-E	-0.0543640720000002
Paxillin-R-C	-0.169750709
